date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,movingAverage,standardDeviation,BollingerBandsUpper,BollingerBandsLower,change,gain,loss,AvgU,AvgD,rs,rsi
2011-10-15,4.05,4.05,4.05,4.05,96.98,4.05,4.05,4.05,4.05,96.98,0.0,1.0,4.757499999999999,0.6554698997464967,6.068439799492992,3.446560200507006,0.07999999999999963,0.07999999999999963,0.0,0.09075860885791939,0.19084679019661377,0.47555742889056846,32.22900170331745
2011-10-18,3.92,3.92,3.92,3.92,10.24,3.92,3.92,3.92,3.92,10.24,0.0,1.0,4.6674999999999995,0.6397439866235956,5.94698797324719,3.3880120267528087,-0.1299999999999999,0.0,0.1299999999999999,0.08427585108235372,0.1865005908968556,0.45187980733510164,31.123775194898442
2011-10-21,2.24,2.29,2.22,2.22,61.97,2.24,2.29,2.22,2.22,61.97,0.0,1.0,4.493499999999999,0.7932496454458702,6.07999929089174,2.907000709108259,-1.6799999999999997,0.0,1.6799999999999997,0.07825614743361417,0.2931791201185088,0.26692264920496894,21.06858294564951
2011-10-22,2.27,2.27,2.22,2.22,41.46,2.27,2.27,2.22,2.22,41.46,0.0,1.0,4.323,0.8858662130188849,6.09473242603777,2.551267573962231,0.029999999999999805,0.029999999999999805,0.0,0.07480927975978457,0.27223775439575815,0.2747939202107605,21.555948444226118
2011-10-25,2.92,2.99,2.92,2.99,64.54,2.92,2.99,2.92,2.99,64.54,0.0,1.0,4.1665,0.8400017230558768,5.846503446111754,2.486496553888246,0.6499999999999999,0.6499999999999999,0.0,0.11589433120551425,0.25279220051034684,0.4584569103458976,31.434381577798334
2011-10-26,2.72,2.72,2.66,2.66,130.3,2.72,2.72,2.66,2.66,130.3,0.0,1.0,4.062500000000001,0.8849970264594709,5.832494052918943,2.292505947081059,-0.19999999999999973,0.0,0.19999999999999973,0.10761616469083467,0.2490213290453221,0.43215641448628056,30.17522458545818
2011-10-27,2.69,3.0,2.67,2.72,268.27,2.69,3.0,2.67,2.72,268.27,0.0,1.0,3.9510000000000005,0.9113604636678302,5.773720927335661,2.1282790726643404,-0.03000000000000025,0.0,0.03000000000000025,0.09992929578434646,0.23337694839922765,0.42818837280107813,29.981225233004835
2011-10-29,4.2,4.36,3.07,3.07,118.38,4.2,4.36,3.07,3.07,118.38,0.0,1.0,3.9200000000000004,0.8905527556109836,5.701105511221968,2.1388944887780332,1.5100000000000002,1.5100000000000002,0.0,0.20064863179975034,0.2167071663707114,0.9258975379545573,48.07615772425399
2011-10-30,3.95,4.4,3.69,3.69,88.43,3.95,4.4,3.69,3.69,88.43,0.0,1.0,3.8765,0.8651636596013134,5.606827319202627,2.146172680797373,-0.25,0.0,0.25,0.18631658667119674,0.2190852259156606,0.8504297169856697,45.95849867624319
2011-10-31,3.5,3.85,3.2,3.85,116.38,3.5,3.85,3.2,3.85,116.38,0.0,1.0,3.808,0.8361100406047044,5.480220081209408,2.135779918790591,-0.4500000000000002,0.0,0.4500000000000002,0.17300825905182554,0.2355791383502563,0.7343954998026986,42.34302383085299
2011-11-01,3.3,3.55,3.2,3.25,68.99,3.3,3.55,3.2,3.25,68.99,0.0,1.0,3.7239999999999993,0.7955759251206508,5.315151850241301,2.132848149758698,-0.20000000000000018,0.0,0.20000000000000018,0.16065052626240942,0.233037771325238,0.6893754834198028,40.806528222151066
2011-11-02,3.33,3.33,3.32,3.32,38.78,3.33,3.33,3.32,3.32,38.78,0.0,1.0,3.6445,0.7477789921177459,5.140057984235492,2.148942015764508,0.03000000000000025,0.03000000000000025,0.0,0.1513183458150945,0.21639221623057814,0.6992781369448902,41.15148201707068
2011-11-05,3.55,3.55,3.21,3.27,117.08,3.55,3.55,3.21,3.27,117.08,0.0,1.0,3.582,0.6966053024262889,4.9752106048525775,2.188789395147422,0.21999999999999975,0.21999999999999975,0.0,0.15622417825687349,0.20093562935696546,0.777483708373783,43.740693920908086
2011-11-06,3.0,3.21,3.0,3.21,103.51,3.0,3.21,3.0,3.21,103.51,0.0,1.0,3.5015,0.663810967068186,4.8291219341363725,2.173878065863628,-0.5499999999999998,0.0,0.5499999999999998,0.1450653083813825,0.22586879868861073,0.6422547479936516,39.10810723965307
2011-11-07,2.95,2.95,2.95,2.95,203.39,2.95,2.95,2.95,2.95,203.39,0.0,1.0,3.4495000000000005,0.6642643338785834,4.778028667757168,2.1209713322428336,-0.04999999999999982,0.0,0.04999999999999982,0.13470350063985517,0.21330674163942426,0.6315013749896347,38.70676327156921
2011-11-09,3.08,3.08,3.08,3.08,47.47,3.08,3.08,3.08,3.08,47.47,0.0,1.0,3.4090000000000003,0.6606766865952867,4.730353373190574,2.087646626809427,0.1299999999999999,0.1299999999999999,0.0,0.13436753630843698,0.19807054580803685,0.6783822186195285,40.418815874818954
2011-11-10,3.3,3.3,3.09,3.09,58.86,3.3,3.3,3.09,3.09,58.86,0.0,1.0,3.3485,0.607837192537261,4.564174385074522,2.132825614925478,0.21999999999999975,0.21999999999999975,0.0,0.14048414085783428,0.18392264967889135,0.7638218626314056,43.30493225046418
2011-11-11,3.3,3.3,2.95,3.25,121.67,3.3,3.3,2.95,3.25,121.67,0.0,1.0,3.3085,0.5815340420863284,4.471568084172657,2.145431915827343,0.0,0.0,-0.0,0.13044955936798902,0.17078531755897053,0.763821862631406,43.30493225046419
2011-11-12,3.3,3.3,3.3,3.3,65.43,3.3,3.3,3.3,3.3,65.43,0.0,1.0,3.2769999999999997,0.5628601770842995,4.402720354168599,2.1512796458314005,0.0,0.0,-0.0,0.12113173369884694,0.15858636630475836,0.7638218626314058,43.30493225046419
2011-11-13,3.35,3.35,3.35,3.35,2.79,3.35,3.35,3.35,3.35,2.79,0.0,1.0,3.246,0.5392626544888087,4.324525308977617,2.1674746910223828,0.050000000000000266,0.050000000000000266,0.0,0.11605089557750076,0.14725876871156135,0.7880746022317484,44.073921817810586
2011-11-14,3.35,3.35,3.35,3.35,29.49,3.35,3.35,3.35,3.35,29.49,0.0,1.0,3.211,0.5060257950570884,4.223051590114177,2.1989484098858227,0.0,0.0,-0.0,0.10776154589339354,0.1367402852321641,0.7880746022317483,44.073921817810586
2011-11-15,2.47,2.95,2.47,2.95,183.4,2.47,2.95,2.47,2.95,183.4,0.0,1.0,3.1384999999999996,0.5029625391512517,4.144425078302503,2.132574921697496,-0.8799999999999999,0.0,0.8799999999999999,0.10006429261529401,0.1898302648584381,0.5271250750764892,34.517478867936674
2011-11-16,2.5,3.0,2.5,2.99,97.34,2.5,3.0,2.5,2.99,97.34,0.0,1.0,3.1514999999999995,0.4814154021982313,4.114330804396462,2.188669195603537,0.029999999999999805,0.029999999999999805,0.0,0.09505970028563013,0.17627096022569252,0.5392816840840844,35.03463269005063
2011-11-17,3.0,3.0,2.51,2.51,5.62,3.0,3.0,2.51,2.51,5.62,0.0,1.0,3.1879999999999997,0.43665715805905564,4.061314316118111,2.3146856838818883,0.5,0.5,0.0,0.12398400740808513,0.16368017735242876,0.7574772303742583,43.10025855714512
2011-11-18,2.99,3.0,2.5,3.0,17.02,2.99,3.0,2.5,3.0,17.02,0.0,1.0,3.1915,0.4346719876436781,4.060843975287356,2.322156024712644,-0.009999999999999787,0.0,0.009999999999999787,0.11512800687893619,0.1527030218272553,0.753934044665955,42.985313327990355
2011-11-19,2.5,2.79,2.5,2.5,88.44,2.5,2.79,2.5,2.5,88.44,0.0,1.0,3.1805,0.4497540263416515,4.0800080526833025,2.280991947316697,-0.4900000000000002,0.0,0.4900000000000002,0.10690457781615503,0.17679566312530848,0.6046787343441997,37.68223018119075
2011-11-20,2.43,2.5,2.43,2.5,48.87,2.43,2.5,2.43,2.5,48.87,0.0,1.0,3.1675,0.4680629174981103,4.103625834996221,2.2313741650037793,-0.06999999999999984,0.0,0.06999999999999984,0.09926853654357254,0.16916740147350073,0.5868065341130305,36.980345208940975
2011-11-21,2.37,2.37,2.37,2.37,11.0,2.37,2.37,2.37,2.37,11.0,0.0,1.0,3.076,0.4331694696925039,3.942338939385008,2.2096610606149922,-0.06000000000000005,0.0,0.06000000000000005,0.09217792679046023,0.16136972993967927,0.5712219189120336,36.355266689989065
2011-11-22,2.25,3.0,2.25,2.45,290.53,2.25,3.0,2.25,2.45,290.53,0.0,1.0,2.991,0.41920852743436093,3.829417054868722,2.1525829451312783,-0.1200000000000001,0.0,0.1200000000000001,0.08559378916257021,0.15841474922970222,0.5403145198207445,35.078194282270616
2011-11-23,2.59,2.59,2.46,2.53,328.49,2.59,2.59,2.46,2.53,328.49,0.0,1.0,2.9455,0.4103461311727239,3.766192262345448,2.124807737654552,0.33999999999999986,0.33999999999999986,0.0,0.10376566136524376,0.1470994099990092,0.7054118120932142,41.36313628714669
2011-11-25,3.0,3.0,2.54,2.54,9.14,3.0,3.0,2.54,2.54,9.14,0.0,1.0,2.9305,0.4021059692746641,3.734711938549328,2.126288061450672,0.41000000000000014,0.41000000000000014,0.0,0.1256395426962978,0.13659230928479427,0.9198141780760144,47.91162543646944
2011-11-26,2.75,15.0,2.5,2.5,179.79,2.75,15.0,2.5,2.5,179.79,0.0,1.0,2.9015,0.3925795259696151,3.6866590519392304,2.1163409480607696,-0.25,0.0,0.25,0.11666528964656224,0.14469285862159467,0.8062961141134752,44.63809160710081
2011-11-27,2.77,2.77,2.77,2.77,10.09,2.77,2.77,2.77,2.77,10.09,0.0,1.0,2.8625,0.3623443404451532,3.587188680890306,2.1378113191096935,0.020000000000000018,0.020000000000000018,0.0,0.10976062610037922,0.1343576544343379,0.8169287158404547,44.96206751086373
2011-11-29,2.66,2.78,2.66,2.67,180.37,2.66,2.78,2.66,2.67,180.37,0.0,1.0,2.8455,0.3635276721531034,3.5725553443062066,2.1184446556937933,-0.10999999999999988,0.0,0.10999999999999988,0.10192058137892357,0.13261782197474234,0.7685285421014892,43.455817862473964
2011-11-30,2.72,3.23,2.69,2.69,62.46,2.72,3.23,2.69,2.69,62.46,0.0,1.0,2.834,0.3636858100353301,3.5613716200706604,2.1066283799293397,0.06000000000000005,0.06000000000000005,0.0,0.0989262541375719,0.12314512040511791,0.8033306866900471,44.547053550368716
2011-12-01,3.19,3.19,3.19,3.19,14.54,3.19,3.19,3.19,3.19,14.54,0.0,1.0,2.8395,0.36840302587476914,3.5763060517495386,2.1026939482504616,0.46999999999999975,0.46999999999999975,0.0,0.1254315216991739,0.11434904037618092,1.0969180089883945,52.31096324636818
2011-12-02,3.42,3.48,3.3,3.46,233.78,3.42,3.48,3.3,3.46,233.78,0.0,1.0,2.8455,0.3771705603290757,3.5998411206581515,2.0911588793418483,0.22999999999999998,0.22999999999999998,0.0,0.1329006987206615,0.10618125177788228,1.2516399693485711,55.58792641750301
